num,type,ra,dec,tic,hip,sdss,apass,kic,dis,teff,lum,mass,rad,mas_IHZ,mas_OHZ,AU_IHZ,AU_OHZ,TRp_IHZ,TRp_OHZ,TRt_IHZ,TRt_OHZ,TRD,Ast_max_IHZ,Ast_max_OHZ,RV_max_IHZ,RV_max_OHZ,RV_E_IHZ,RV_E_OHZ,BR_IR_IHZ,BR__IR_OHZ,RR_IHZ,RR_OHZ,MDTV_IHZ,MDTV_OHZ,MDTIR_IHZ,MDTIR_OHZ,Detect_TR,Detect_RV,Tplanet,500nm,4000nm,7500nm,11000nm,tmag,RVE,MEAN,STD
162,1,207.0558842,23.61352878,417153632,0,0,0,0,11.8793627,2949,0.001627899,0.126388,0.154567,3.654548346,7.530848508,0.043413705,0.089461681,0.017801636,0.008638727,1.177661931,1.690541109,0.003499,0.086745933,0.178755464,1.207778216,0.841360449,0.948586793,0.660802951,4.60E-05,1.10E-05,2.72E-07,6.40E-08,40.39797798,19.60421372,696.5168618,338.0036848,0.011632478,0,1.456848802,5.81E-08,8.86E-08,4.05E-06,2.05E-05,11.9641,0.976322611,,
1638,1,5.128239997,33.08128045,0,0,0,0,0,12.25909349,2833.7,0.00132385,0.140001,0.15137961,3.197376161,6.634161203,0.039196933,0.081328802,0.019310134,0.009306642,1.041288831,1.499917437,0.003647898,0.068514714,0.142159582,1.207707953,0.838428017,0.948531608,0.658499825,5.04E-05,1.21E-05,3.34E-07,7.75E-08,46.17422418,22.25396084,796.1073134,383.68898,0,0,1.29113027,7.06E-08,1.05E-07,4.46E-06,2.24E-05,13.935161,0.974009232,,
1220,1,142.290978,25.9680432,0,0,0,0,0,17.66993619,3391.67,0.001243891,0.150682,0.102428212,2.138207795,4.290323581,0.037781995,0.075809744,0.013555162,0.00675561,0.666767927,0.94448436,0.007967797,0.042570602,0.085418104,1.185715254,0.837067224,0.931258583,0.65743106,8.80E-05,2.11E-05,3.59E-07,8.92E-08,69.04678018,34.41147523,1190.461727,593.3012971,0.009017224,0,0.817505405,7.95E-08,1.34E-07,7.62E-06,3.93E-05,14.390027,0.967084617,,
1875,1,263.5353571,-8.832425874,0,0,0,0,0,16.13798624,3490,0.001271669,0.151902976,0.097811921,2.364440758,4.716352752,0.038157312,0.076112436,0.01281693,0.006425489,0.637295554,0.900077302,0.008737634,0.046696401,0.093145366,1.175118084,0.832036902,0.922935585,0.653480255,9.32E-05,2.23E-05,3.52E-07,8.85E-08,62.44028874,31.30307918,1076.556702,539.7082618,0.008559739,0,0.779834845,7.85E-08,1.36E-07,8.04E-06,4.16E-05,14.108105,0.960328375,,
2275,1,246.713665,-38.21020261,0,0,0,0,0,13.93980791,2874,0.001660645,0.127978,0.164824044,3.147945075,6.515983192,0.04388175,0.090831554,0.018780478,0.009073061,1.25469517,1.805155549,0.003077062,0.073792646,0.152744609,1.193833916,0.829788685,0.937634965,0.651714509,4.18E-05,1.00E-05,2.66E-07,6.21E-08,46.89928195,22.65757282,808.6083095,390.6478072,0,0,1.554484886,5.65E-08,8.46E-08,3.69E-06,1.86E-05,13.885518,0.963597434,,
2390,1,323.5938032,-43.27315011,0,0,0,0,0,16.94326548,3547.09,0.001188156,0.159493,0.091526738,2.175270596,4.32424595,0.036856187,0.073266847,0.01241674,0.006246122,0.57197326,0.806444111,0.009978872,0.040915976,0.081337349,1.166883567,0.827616185,0.916468211,0.650008231,0.000104349,2.50E-05,3.77E-07,9.55E-08,67.87034399,34.14152787,1170.178345,588.6470323,0.008311316,0,0.699108544,8.45E-08,1.49E-07,8.99E-06,4.66E-05,14.275262,0.954681792,,
1226,1,118.1005354,16.20259811,0,0,0,0,0,18.88110568,3304,0.001102491,0.163504,0.101616234,1.885665885,3.803625714,0.035603457,0.071816659,0.014270557,0.007074698,0.616436492,0.87549739,0.008095641,0.034598528,0.06978959,1.172582115,0.825613433,0.920943839,0.648435274,9.23E-05,2.21E-05,4.04E-07,9.94E-08,78.29402062,38.81464023,1349.896907,669.217935,0.009459703,0,0.757129325,8.88E-08,1.47E-07,8.02E-06,4.12E-05,14.752794,0.954688165,,
1882,1,292.7700392,-3.102897139,0,0,0,0,0,18.34603185,2881.9,0.001443352,0.140065,0.152821349,2.229736861,4.613199945,0.040906823,0.084633913,0.0186792,0.009028375,1.073644359,1.544311051,0.003579393,0.047757902,0.098808409,1.181927531,0.821706111,0.928283712,0.64536647,4.84E-05,1.16E-05,3.06E-07,7.16E-08,66.2124604,32.00302727,1141.594145,551.7763322,0,0,1.329964066,6.50E-08,9.76E-08,4.28E-06,2.16E-05,14.652563,0.954138431,,
1316,1,104.4902599,62.31958026,0,0,0,0,0,11.46240846,2856.15,0.001461379,0.139097,0.156557972,3.591973534,7.442978329,0.041172668,0.085314458,0.019012367,0.009175348,1.107297098,1.59393635,0.003410571,0.077470546,0.160527797,1.18219782,0.821265049,0.928495996,0.645020061,4.67E-05,1.12E-05,3.02E-07,7.04E-08,41.10174037,19.83565679,708.6506961,341.9940826,0,0,1.372359274,6.41E-08,9.55E-08,4.13E-06,2.08E-05,13.639243,0.953864079,,
1605,1,353.7970694,-2.392799394,0,0,0,0,0,7.176746766,2863.1,0.001452569,0.140058,0.155328438,5.719212615,11.84596707,0.041045341,0.085015506,0.018921568,0.0091353,1.093131223,1.573219927,0.003464779,0.122503804,0.253737032,1.179960985,0.819880407,0.92673919,0.643932566,4.73E-05,1.13E-05,3.04E-07,7.09E-08,25.81410652,12.46300642,445.070802,214.879421,0.012321704,0,1.354613747,6.45E-08,9.63E-08,4.18E-06,2.10E-05,12.623748,0.952191868,,
